data.id,long,lat,status,name,category,category2,essential_flag,chain_flag,corridor,sidewalk_width,histogram_column,image
52,-73.92239529,40.81714676,Occupied,99Â¢ Factory,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
53,-73.92231998,40.8171268,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,9,#N/A,
54,-73.92225469,40.81710944,Occupied,CVS Pharmacy,Essentials,Essentials,Essential,FALSE,Hub,9,#N/A,
55,-73.92205855,40.81705968,Occupied,Kennedy Fried Chicken,Food,Food,Non-essential,FALSE,Hub,9,5,
56,-73.91747803,40.81638027,Occupied,Hector's Jewelry,Fashion,Fashion,Non-essential,TRUE,Hub,15,#N/A,
57,-73.92197878,40.81704019,Occupied,Hub Surgical,Home & Hobby,Home,Essential,TRUE,Hub,9,#N/A,
58,-73.91777545,40.81642358,Occupied,Capital One Bank,Services,Services,Essential,FALSE,Hub,13,#N/A,
59,-73.91774785,40.81648665,Occupied,Cricket,Home & Hobby,Home,Essential,TRUE,Hub,13,#N/A,
60,-73.92186705,40.817013,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,9,#N/A,
61,-73.91742639,40.81649767,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,15,#N/A,
62,-73.91768007,40.81663981,Occupied,Cookie's Dept. Stores,Fashion,Fashion,Non-essential,TRUE,Hub,13,#N/A,
63,-73.9173935,40.81657048,Occupied,Tony's Fabrics,Home & Hobby,Home,Non-essential,TRUE,Hub,15,#N/A,
64,-73.91738171,40.8165958,Occupied,Express Tax Service,Services,Services,Essential,TRUE,Hub,15,#N/A,
65,-73.92171968,40.816975,Occupied,Burkina Business Center,Home & Hobby,Home,Non-essential,TRUE,Hub,9,#N/A,
66,-73.91735886,40.81663778,Occupied,Black Era,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
67,-73.91726636,40.81684932,Occupied,Blink Fitness,Fitness,Fitness,Non-essential,FALSE,Hub,5,#N/A,
68,-73.92163769,40.81695343,Occupied,Ein Yabrood Furniture,Home & Hobby,Home,Non-essential,TRUE,Hub,9,#N/A,
69,-73.91717085,40.81706119,Occupied,Ficohsa Express,Services,Services,Essential,TRUE,Hub,5,#N/A,
70,-73.92144093,40.81690199,Occupied,Hub Liquor Warehouse,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
71,-73.91709967,40.81721538,Occupied,Express African Barbershop,Body,Body,Non-essential,TRUE,Hub,5,#N/A,
72,-73.92138009,40.81688684,Occupied,Boost Mobile,Home & Hobby,Home,Essential,TRUE,Hub,9,#N/A,
73,-73.91714184,40.81712186,Occupied,Titilokpe African Market,Home & Hobby,Home,Non-essential,TRUE,Hub,5,#N/A,
74,-73.9170776,40.8172649,Occupied,Batchilly Variety Store,Essentials,Essentials,Essential,TRUE,Hub,5,#N/A,
75,-73.91703111,40.81736189,Occupied,Hong Kong Peterâ€™s Chinese Restaurant ,Food,Food,Non-essential,TRUE,Hub,5,1,
76,-73.92133408,40.81687418,Occupied,Capri Cakes,Food,Food,Non-essential,TRUE,Hub,9,6,
77,-73.91706064,40.81730101,Occupied,Tacos El Torito Versatile,Food,Food,Non-essential,TRUE,Hub,5,2,
78,-73.91695025,40.81754169,Occupied,Parrilla Latina Steakhouse ,Food,Food,Non-essential,TRUE,Hub,5,3,
79,-73.91691039,40.81763039,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,6,#N/A,
80,-73.92128342,40.81686107,Occupied,Kings Care Pharmacy & Store Inc.,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
81,-73.92125443,40.81685466,Occupied,Fanta Hair Braiding,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
82,-73.91686968,40.81771846,Occupied,Super Pioneer,Essentials,Essentials,Essential,TRUE,Hub,6,#N/A,
83,-73.9211714,40.81683138,Occupied,Super Variety,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
84,-73.91672456,40.81803993,Occupied,Cut Zone Barber Shop,Body,Body,Non-essential,TRUE,Hub,6,#N/A,
85,-73.9225467,40.81748224,Occupied,Pay-O-Matic,Services,Services,Essential,FALSE,Hub,9,#N/A,
86,-73.92107111,40.81680553,Occupied,Tee-Roe's Driving School,Groups,Groups,Non-essential,TRUE,Hub,9,#N/A,
87,-73.92240577,40.81744683,Occupied,Express Pharmacy,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
88,-73.91668956,40.81812046,Occupied,Gar Pizza Restaurant Inc.,Food,Food,Non-essential,TRUE,Hub,10,2,
89,-73.92229391,40.81741905,Occupied,McDonald's,Food,Food,Non-essential,FALSE,Hub,9,7,
90,-73.92102117,40.81679293,Occupied,Forlasting Nails,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
91,-73.92211352,40.81736992,Occupied,La Perla Mexicana,Food,Food,Non-essential,TRUE,Hub,9,8,
92,-73.92095168,40.81677421,Occupied,Way Tech Tattoo,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
93,-73.92201256,40.81734237,Occupied,149th Nails,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
94,-73.92194875,40.81732466,Occupied,La Paz Funeral Services Inc.,Misc,Misc,Non-essential,TRUE,Hub,9,#N/A,
95,-73.92090417,40.8167625,Occupied,Metro PCS,Home & Hobby,Home,Essential,TRUE,Hub,9,#N/A,
96,-73.92186231,40.81730179,Occupied,King Bag,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
97,-73.9208626,40.81675178,Occupied,Express Postal & Printing,Services,Services,Essential,TRUE,Hub,9,#N/A,
98,-73.92158839,40.8172326,Occupied,Franco's,Food,Food,Non-essential,TRUE,Hub,9,9,
99,-73.92082483,40.81674205,Occupied,Special Touch Beauty Supply,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
100,-73.92152176,40.81721387,Occupied,Famous Design Nails Professional,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
101,-73.92078167,40.81673092,Occupied,Oz Pharmacy,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
102,-73.92149103,40.81720705,Occupied,Big Team,Fashion,Fashion,Essential,TRUE,Hub,9,#N/A,
103,-73.92138846,40.81718159,Occupied,N.Y. Pawnbrokers Inc.,Home & Hobby,Home,Non-essential,TRUE,Hub,9,#N/A,
104,-73.92075078,40.81672242,Occupied,"Effort Realty, LLC. ",Misc,Misc,Essential,TRUE,Hub,9,#N/A,
105,-73.92128797,40.81715433,Occupied,ATAX ,Services,Services,Essential,TRUE,Hub,9,#N/A,
106,-73.92109849,40.81710543,Occupied,Suit Factory,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
107,-73.9207499,40.81701824,Occupied,Adorable Angels,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
108,-73.92065889,40.81699123,Occupied,Triple A Discount,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
109,-73.92057376,40.81697132,Occupied,Merry Land Buffet,Food,Food,Non-essential,TRUE,Hub,9,10,
110,-73.92038939,40.81662867,Occupied,Perfect Brows,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
111,-73.92049086,40.81695001,Occupied,237 East 149th Street Inc.,Home & Hobby,Home,Essential,TRUE,Hub,9,#N/A,
112,-73.9203847,40.81692189,Occupied,Bank of America,Services,Services,Essential,FALSE,Hub,9,#N/A,
113,-73.92019553,40.8165803,Occupied,I-B Fashions,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
114,-73.92015247,40.81656877,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,9,#N/A,
115,-73.92019849,40.81687195,Occupied,Cardinal McCloskey Community Services,Groups,Groups,Non-essential,TRUE,Hub,9,#N/A,
116,-73.92022793,40.81688174,Occupied,Kelly's Gift Shop Inc,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
117,-73.92014403,40.81686058,Occupied,Pharamore Pharmacy,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
118,-73.92011121,40.8165591,Occupied,HT Nails,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
119,-73.92006356,40.81683871,Occupied,Jannah Furniture,Home & Hobby,Home,Non-essential,TRUE,Hub,9,#N/A,
120,-73.92009048,40.81655322,Occupied,Metro Pharmacy,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
121,-73.92004532,40.81654024,Occupied,Bronx Ink Tattoo,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
122,-73.91997884,40.81681653,Occupied,Winin Pawn Broker Inc.,Home & Hobby,Home,Non-essential,TRUE,Hub,9,#N/A,
123,-73.91983632,40.81677871,Occupied,H&R Block,Services,Services,Essential,FALSE,Hub,9,#N/A,
124,-73.91967036,40.81673646,Occupied,Citibank,Services,Services,Essential,FALSE,Hub,9,#N/A,
125,-73.91994051,40.8165133,Occupied,Big Team Ventures ,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
126,-73.91987993,40.81649732,Occupied,A.B.D. Fashion,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
127,-73.92000314,40.81652963,Occupied,Mr. Income Tax,Services,Services,Essential,TRUE,Hub,9,#N/A,
128,-73.91944916,40.81702245,Occupied,Health Care Pharmacy,Essentials,Essentials,Essential,TRUE,Hub,12,#N/A,
129,-73.91980149,40.81647618,Occupied,Ladies Choice,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
130,-73.91940753,40.81711332,Occupied,Show Time by Elisa Unisex Beauty Salon,Body,Body,Non-essential,TRUE,Hub,12,#N/A,
131,-73.91937922,40.81718091,Occupied,Neighborhood Cycle,Home & Hobby,Home,Essential,TRUE,Hub,11,#N/A,
132,-73.91972107,40.81645075,Occupied,La Liga Deli Food,Essentials,Essentials,Non-essential,TRUE,Hub,9,#N/A,
133,-73.91920414,40.81705767,Occupied,Municipal Credit Union,Services,Services,Essential,TRUE,Hub,11,#N/A,
134,-73.91933948,40.81665685,Occupied,149 Grill,Essentials,Essentials,Essential,TRUE,Hub,12,#N/A,
135,-73.91910749,40.81659897,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,12,#N/A,
136,-73.91909217,40.81629795,Occupied,Chase Bank,Services,Services,Essential,FALSE,Hub,10,#N/A,
137,-73.91900149,40.81656821,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,12,#N/A,
138,-73.91891821,40.8165468,Occupied,Tannen's Stationers,Home & Hobby,Home,Non-essential,TRUE,Hub,12,#N/A,
139,-73.91889276,40.81624687,Occupied,368 Pawnbrokers Inc.,Home & Hobby,Home,Non-essential,TRUE,Hub,10,#N/A,
140,-73.91879974,40.81651349,Occupied,Business Office,Misc,Misc,Non-essential,TRUE,Hub,12,#N/A,
141,-73.91878247,40.81621535,Occupied,The Spot,Fashion,Fashion,Non-essential,TRUE,Hub,10,#N/A,
142,-73.91876185,40.81650586,Occupied,Sterling National Bank,Services,Services,Essential,TRUE,Hub,12,#N/A,
143,-73.91866143,40.81647852,Occupied,TD Bank,Services,Services,Essential,FALSE,Hub,12,#N/A,
144,-73.91849339,40.81643443,Occupied,KFC,Food,Food,Non-essential,FALSE,Hub,12,1,
145,-73.91837815,40.81640433,Occupied,Starbucks,Food,Food,Non-essential,FALSE,Hub,12,2,
146,-73.91868735,40.81619423,Occupied,Apple Bank For Savings,Services,Services,Essential,FALSE,Hub,10,#N/A,
147,-73.91860286,40.81617063,Occupied,Popular Community Bank,Services,Services,Essential,FALSE,Hub,10,#N/A,
148,-73.91826171,40.81637209,Occupied,Wendy's,Food,Food,Non-essential,FALSE,Hub,12,3,
149,-73.91819786,40.8163559,Occupied,Santander Bank,Services,Services,Essential,FALSE,Hub,12,#N/A,
150,-73.91854784,40.81615651,Occupied,Army Career Center,Misc,Misc,Non-essential,TRUE,Hub,10,#N/A,
151,-73.91807719,40.81632348,Occupied,149 Wireless Center Inc.,Home & Hobby,Home,Essential,TRUE,Hub,12,#N/A,
152,-73.91849998,40.81614406,Occupied,Victoria,Fashion,Fashion,Non-essential,TRUE,Hub,10,#N/A,
153,-73.91802064,40.81631157,Occupied,149th Deli,Essentials,Essentials,Non-essential,TRUE,Hub,12,#N/A,
154,-73.91835461,40.81610606,Occupied,Honey,Body,Body,Non-essential,TRUE,Hub,10,#N/A,
155,-73.91794392,40.81629092,Occupied,Lucky Perfumes,Fashion,Fashion,Non-essential,TRUE,Hub,12,#N/A,
156,-73.91831678,40.8160965,Occupied,Gold Paradise Jewelry,Fashion,Fashion,Non-essential,TRUE,Hub,10,#N/A,
157,-73.91826372,40.81608281,Occupied,Se Necessita Pizzero,Food,Food,Non-essential,TRUE,Hub,10,3,
158,-73.91821233,40.81607001,Occupied,Rapid Wireless,Home & Hobby,Home,Essential,TRUE,Hub,10,#N/A,
159,-73.91817703,40.81605998,Occupied,CafÃ© 149,Food,Food,Non-essential,TRUE,Hub,10,4,
160,-73.91697849,40.81594154,Occupied,423 El Delicioso Restaurant ,Food,Food,Non-essential,TRUE,Hub,14,2,
161,-73.91688777,40.81590279,Occupied,Subway,Food,Food,Non-essential,FALSE,Hub,14,3,
162,-73.91683526,40.81588028,Occupied,Liberty Tax Service,Services,Services,Essential,FALSE,Hub,14,#N/A,
163,-73.9180254,40.81602109,Occupied,1800fix.com,Home & Hobby,Home,Essential,TRUE,Hub,10,#N/A,
164,-73.91677144,40.81585483,Occupied,The Butcher's Choice II Meat Market,Essentials,Essentials,Essential,TRUE,Hub,14,#N/A,
165,-73.91248614,40.82074315,Occupied,Great Wall Laundry Center,Services,Services,Essential,TRUE,Hub,9,#N/A,
166,-73.91279412,40.82078735,Occupied,Christian Federation Ministries,Groups,Groups,Non-essential,TRUE,Hub,13,#N/A,
167,-73.91254289,40.82066174,Occupied,Feel Good Pharmacy Inc.,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
168,-73.91590714,40.81549789,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,14,#N/A,
169,-73.91264812,40.82049981,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,9,#N/A,
170,-73.91568488,40.81540195,Occupied,VistaSite Eye Care,Fashion,Fashion,Non-essential,TRUE,Hub,14,#N/A,
171,-73.91269745,40.82040327,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,9,#N/A,
172,-73.91558914,40.81536155,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,14,#N/A,
173,-73.91760454,40.81587715,Occupied,AA Electronics & Appliances,Home & Hobby,Home,Non-essential,TRUE,Hub,12,#N/A,
174,-73.91274437,40.82033212,Occupied,My Wellness Solutions,Essentials,Essentials,Essential,TRUE,Hub,9,#N/A,
175,-73.91278472,40.82026852,Occupied,Subway,Food,Food,Non-essential,FALSE,Hub,9,11,
176,-73.91742031,40.81581365,Occupied,Cee & Cee Department Stores,Essentials,Essentials,Essential,TRUE,Hub,12,#N/A,
177,-73.91732814,40.81577592,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,12,#N/A,
178,-73.91287147,40.82016385,Occupied,Kennedy Fried Chicken & Pizza,Food,Food,Non-essential,TRUE,Hub,9,12,
179,-73.91523743,40.81521198,Occupied,Fine Fare,Essentials,Essentials,Essential,FALSE,Hub,14,#N/A,
180,-73.91312077,40.820276,Occupied,Rincon Superior Grocery & Deli,Food,Food,Non-essential,TRUE,Hub,14,4,
181,-73.91298567,40.81998579,Occupied,Forman Mills,Fashion,Fashion,Non-essential,TRUE,Hub,11,#N/A,
182,-73.91327522,40.82008557,Occupied,99Â¢ USA,Essentials,Essentials,Essential,TRUE,Hub,14,#N/A,
183,-73.91727575,40.81575289,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,12,#N/A,
184,-73.91314549,40.81982783,Occupied,Bronx Business Center,Misc,Misc,Non-essential,TRUE,Hub,9,#N/A,
185,-73.91724063,40.81573777,Occupied,Best Italian Pizza,Food,Food,Non-essential,TRUE,Hub,12,4,
186,-73.91340266,40.81950604,Occupied,Walgreens,Essentials,Essentials,Essential,FALSE,Hub,9,#N/A,
187,-73.91330811,40.82004179,Occupied,Holland Textiles,Home & Hobby,Home,Non-essential,TRUE,Hub,14,#N/A,
188,-73.91717134,40.8157143,Occupied,Variety NYC,Fashion,Fashion,Non-essential,TRUE,Hub,12,#N/A,
189,-73.9133468,40.81999182,Occupied,Rent 4 Parties,Home & Hobby,Home,Non-essential,TRUE,Hub,14,#N/A,
190,-73.91337413,40.81995531,Occupied,New China,Food,Food,Non-essential,TRUE,Hub,14,5,
191,-73.91710121,40.81568334,Occupied,PLS,Services,Services,Essential,FALSE,Hub,12,#N/A,
192,-73.91340574,40.81991536,Occupied,Dunkin' Donuts,Food,Food,Non-essential,FALSE,Hub,14,6,
193,-73.91374098,40.81948765,Occupied,Davids Check Cashing,Services,Services,Essential,TRUE,Hub,14,#N/A,
194,-73.91687241,40.8155623,Occupied,Simon Shoes Inc. #6,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
195,-73.9134477,40.81986433,Occupied,Cedra Pharmacy ,Essentials,Essentials,Essential,TRUE,Hub,14,#N/A,
196,-73.91379374,40.8194257,Occupied,Pinceladas a Colores Unisex Salon,Body,Body,Non-essential,TRUE,Hub,14,#N/A,
197,-73.91346507,40.81984047,Occupied,Invest In The Bronx,Misc,Misc,Essential,TRUE,Hub,14,#N/A,
198,-73.91381927,40.81939661,Occupied,Cross Way Driving School,Groups,Groups,Non-essential,TRUE,Hub,14,#N/A,
199,-73.91700427,40.81548747,Occupied,V.I.M.,Fashion,Fashion,Non-essential,FALSE,Hub,9,#N/A,
200,-73.91385112,40.81935581,Occupied,New Dong Fang Wine Liquors & Wines,Essentials,Essentials,Essential,TRUE,Hub,14,#N/A,
201,-73.91349294,40.81980513,Occupied,Collectibles by Armada,Home & Hobby,Home,Non-essential,TRUE,Hub,14,#N/A,
202,-73.91389555,40.81930898,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,14,#N/A,
203,-73.91395666,40.81923662,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,14,#N/A,
204,-73.91350437,40.81978894,Occupied,Domino's,Food,Food,Non-essential,FALSE,Hub,14,7,
205,-73.91403607,40.81914235,Occupied,Al-Madina Fragrance Inc.,Home & Hobby,Home,Non-essential,TRUE,Hub,14,#N/A,
206,-73.91676615,40.81553544,Occupied,Persona Eyebrows Threading,Body,Body,Non-essential,TRUE,Hub,15,#N/A,
207,-73.91384678,40.81894456,Occupied,Bronx Party Center,Home & Hobby,Home,Non-essential,TRUE,Hub,11,#N/A,
208,-73.91670911,40.81550875,Occupied,Gem Pawnbrokers,Home & Hobby,Home,Non-essential,TRUE,Hub,15,#N/A,
209,-73.91353049,40.81975455,Occupied,JJJ Barber Shop,Body,Body,Non-essential,TRUE,Hub,14,#N/A,
210,-73.91394444,40.81884604,Occupied,City Jeans Premium,Fashion,Fashion,Non-essential,TRUE,Hub,11,#N/A,
211,-73.91665377,40.81548498,Occupied,La Nacional,Services,Services,Essential,FALSE,Hub,15,#N/A,
212,-73.9135448,40.81973462,Occupied,Boost Mobile,Home & Hobby,Home,Essential,TRUE,Hub,14,#N/A,
213,-73.91357034,40.81969964,Occupied,Nails Spa,Body,Body,Non-essential,TRUE,Hub,14,#N/A,
214,-73.91408017,40.81872288,Occupied,Mattress Firm,Home & Hobby,Home,Non-essential,FALSE,Hub,11,#N/A,
215,-73.91359069,40.81967378,Occupied,Four Brothers Deli-Grocery,Essentials,Essentials,Non-essential,TRUE,Hub,14,#N/A,
216,-73.91660399,40.81546196,Occupied,Best Of Best Ebenezer,Fashion,Fashion,Non-essential,TRUE,Hub,15,#N/A,
217,-73.91657645,40.81545078,Occupied,424 Maeer Corp.,Essentials,Essentials,Non-essential,TRUE,Hub,15,#N/A,
218,-73.91409512,40.81907345,Occupied,"Senanâ€™s Furniture, Inc.",Home & Hobby,Home,Non-essential,TRUE,Hub,14,#N/A,
219,-73.91644958,40.81539622,Occupied,Pretty Home,Home & Hobby,Home,Non-essential,TRUE,Hub,15,#N/A,
220,-73.91414619,40.81865831,Occupied,Bee & Bee Department Store,Essentials,Essentials,Essential,TRUE,Hub,11,#N/A,
221,-73.916284,40.81532673,Occupied,149 Medical Supply,Home & Hobby,Home,Essential,TRUE,Hub,15,#N/A,
222,-73.91425041,40.81891428,Occupied,Blue Star Discount,Essentials,Essentials,Essential,TRUE,Hub,14,#N/A,
223,-73.91426554,40.81853537,Occupied,Discount Clothing Store,Fashion,Fashion,Non-essential,TRUE,Hub,11,#N/A,
224,-73.91429343,40.81887225,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,14,#N/A,
225,-73.91433133,40.81882093,Occupied,American Grill,Food,Food,Non-essential,TRUE,Hub,10,5,
226,-73.91603057,40.81522711,Occupied,1st Bronxcare Pharmacy,Essentials,Essentials,Essential,TRUE,Hub,15,#N/A,
227,-73.91441332,40.81874993,Occupied,Ramee Fashion,Fashion,Fashion,Non-essential,TRUE,Hub,14,#N/A,
228,-73.91457695,40.81823697,Occupied,Rainbow Shops,Fashion,Fashion,Non-essential,FALSE,Hub,6,#N/A,
229,-73.91467864,40.81816495,Unoccupied,Vacant,,#N/A,Non-essential,TRUE,Hub,6,#N/A,
230,-73.91592936,40.8151844,Occupied,Allstate - Edward De LeÃ³n,Misc,Misc,Non-essential,FALSE,Hub,15,#N/A,
