Rank,Major_code,Major,Total,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,Histogram_column,midpoint
,,"Captains, Mates, and Pilots of Water Vessels",52238.53963,,,Transportation and Material Moving,"Cannot work remotely, essential",68300,Industrial,,,,,,,,,,,,,,,,,,
,,Motorboat Operators,4489.031833,,,Transportation and Material Moving,"Cannot work remotely, essential",49400,Industrial,,,,,,,,,,,,,,,,,,
,,Ship Engineers,14368.87331,,,Transportation and Material Moving,"Cannot work remotely, essential",71100,Industrial,,,,,,,,,,,,,,,,,,
,,Bridge and Lock Tenders,4799.393985,,,Transportation and Material Moving,"Cannot work remotely, essential",50300,Industrial,,,,,,,,,,,,,,,,,,
,,Parking Lot Attendants,157900.7284,,,Transportation and Material Moving,"Cannot work remotely, non-essential",23900,Industrial,,,,,,,,,,,,,,,,,,
,,Automotive and Watercraft Service Attendants,117237.3725,,,Transportation and Material Moving,"Cannot work remotely, essential",24200,Industrial,,,,,,,,,,,,,,,,,,
,,Traffic Technicians,10044.45532,,,Transportation and Material Moving,"Cannot work remotely, essential",46600,Industrial,,,,,,,,,,,,,,,,,,
,,Transportation Inspectors,34974.87374,,,Transportation and Material Moving,"Cannot work remotely, essential",73300,Industrial,,,,,,,,,,,,,,,,,,
,,"Transportation Attendants, Except Flight Attendants",28652.05547,,,Transportation and Material Moving,"Cannot work remotely, essential",26800,Industrial,,,,,,,,,,,,,,,,,,
,,"Transportation Workers, All Other",40351.23853,,,Transportation and Material Moving,"Cannot work remotely, essential",37500,Industrial,,,,,,,,,,,,,,,,,,
,,Conveyor Operators and Tenders,26084.60832,,,Transportation and Material Moving,"Cannot work remotely, essential",33000,Industrial,,,,,,,,,,,,,,,,,,
,,Crane and Tower Operators,47213.83189,,,Transportation and Material Moving,"Cannot work remotely, essential",54100,Industrial,,,,,,,,,,,,,,,,,,
,,Dredge Operators,2190.271365,,,Transportation and Material Moving,"Cannot work remotely, essential",47600,Industrial,,,,,,,,,,,,,,,,,,
,,Excavating and Loading Machine and Dragline Operators,50563.25216,,,Transportation and Material Moving,"Cannot work remotely, essential",44100,Industrial,,,,,,,,,,,,,,,,,,
,,"Loading Machine Operators, Underground Mining",3209.432235,,,Transportation and Material Moving,"Cannot work remotely, essential",49300,Industrial,,,,,,,,,,,,,,,,,,
,,Hoist and Winch Operators,3681.973661,,,Transportation and Material Moving,"Cannot work remotely, essential",47300,Industrial,,,,,,,,,,,,,,,,,,
,,Industrial Truck and Tractor Operators,616701.5455,,,Transportation and Material Moving,"Cannot work remotely, essential",34700,Industrial,,,,,,,,,,,,,,,,,,
,,Cleaners of Vehicles and Equipment,409887.4754,,,Transportation and Material Moving,"Cannot work remotely, essential",24500,Industrial,,,,,,,,,,,,,,,,,,
,,"Laborers and Freight, Stock, and Material Movers, Hand",2983639.292,,,Transportation and Material Moving,"Cannot work remotely, essential",28200,Industrial,,,,,,,,,,,,,,,,,,
,,Machine Feeders and Offbearers,73171.59697,,,Transportation and Material Moving,"Cannot work remotely, essential",29600,Industrial,,,,,,,,,,,,,,,,,,
,,"Packers and Packagers, Hand",683248.7532,,,Transportation and Material Moving,"Cannot work remotely, essential",24600,Industrial,,,,,,,,,,,,,,,,,,
,,Gas Compressor and Gas Pumping Station Operators,4531.420946,,,Transportation and Material Moving,"Cannot work remotely, essential",65200,Industrial,,,,,,,,,,,,,,,,,,
,,"Pump Operators, Except Wellhead Pumpers",14693.41746,,,Transportation and Material Moving,"Cannot work remotely, essential",44300,Industrial,,,,,,,,,,,,,,,,,,
,,Wellhead Pumpers,14762.53846,,,Transportation and Material Moving,"Cannot work remotely, essential",53300,Industrial,,,,,,,,,,,,,,,,,,
,,Refuse and Recyclable Material Collectors,131969.8545,,,Transportation and Material Moving,"Cannot work remotely, essential",35800,Industrial,,,,,,,,,,,,,,,,,,
,,Mine Shuttle Car Operators,1780.695856,,,Transportation and Material Moving,"Cannot work remotely, essential",56100,Industrial,,,,,,,,,,,,,,,,,,
,,"Tank Car, Truck, and Ship Loaders",11007.14442,,,Transportation and Material Moving,"Cannot work remotely, essential",38300,Industrial,,,,,,,,,,,,,,,,,,
,,"Material Moving Workers, All Other",34104.44663,,,Transportation and Material Moving,"Cannot work remotely, essential",29600,Industrial,,,,,,,,,,,,,,,,,,
