Major,Total,Rank,Major_code,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,old_hist_column,old_midpoint,Histogram_column,rank1,midpoint
Marketing Managers,260375.9933,5,2405,21239,11021,Management,Job can be conducted virtually,129300,Office,0.341630502,289,25694,23170,5180,16697,1672,0.061097712,50000,75000,18314,4440,972,"(20124.0, 40124.0]",1,"(63500, 66000]",12,39750,8,8,120000
Podiatrists,11973.12337,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",132200,Institutional,,,,,,,,,,,,,,,,,13,22250,1,1,130000
"Judges, Magistrate Judges, and Magistrates",29661.0169,,,,,Legal Occupations,Job can be made virtual,133900,Institutional,,,,,,,,,,,,,,,,,13,24750,2,2,130000
Petroleum Engineers,37577.92453,103,5503,10031,9848,Architecture and Engineering,Job can be made virtual,137200,Industrial,0.495397153,214,16181,13616,4543,10548,1743,0.097243919,25000,45000,3373,10605,1895,"(124.0, 20124.0]",1,"(33500, 36000]",13,27250,3,3,130000
"Airline Pilots, Copilots, and Flight Engineers",127551.7855,,,,,Transportation and Material Moving,"Cannot work remotely, essential",139200,Industrial,,,,,,,,,,,,,,,,,13,29750,4,4,130000
Architectural and Engineering Managers,192713.5454,23,2502,8181,3384,Management,Job can be conducted virtually,140600,Office,0.292607004,97,8587,7530,1873,5681,824,0.087557114,35000,60000,5126,2686,696,"(124.0, 20124.0]",1,"(51000, 53500]",14,22250,1,1,140000
Computer and Information Systems Managers,408447.5687,9,2414,80320,10907,Management,Job can be conducted virtually,141400,Office,0.119558903,1029,76442,71298,13101,54639,4650,0.057342278,48000,70000,52844,16384,3253,"(80124.0, 100124.0]",1,"(58500, 61000]",14,24750,2,2,140000
"Dentists, All Other Specialists",6278.412837,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",149400,Institutional,,,,,,,,,,,,,,,,,14,27250,3,3,140000
"Dentists, General",144308.4962,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",155500,Institutional,,,,,,,,,,,,,,,,,15,22250,1,1,150000
Chief Executives,260813.6701,1,2419,2057,282,Management,Job can be conducted virtually,163600,Office,0.120564344,36,1976,1849,270,1207,37,0.018380527,95000,125000,1534,364,193,"(124.0, 20124.0]",1,"(108500, 111000]",16,22250,1,1,160000
Nurse Anesthetists,45792.74696,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",170100,Institutional,,,,,,,,,,,,,,,,,17,22250,1,1,170000
"Pediatricians, General",32374.84842,,,,,Healthcare Practitioners and Technical,Job can be made virtual,170500,Institutional,,,,,,,,,,,,,,,,,17,24750,2,2,170000
Prosthodontists,621.6782735,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",177700,Institutional,,,,,,,,,,,,,,,,,17,27250,3,3,170000
"Internists, General",43186.38241,,,,,Healthcare Practitioners and Technical,Job can be made virtual,193700,Institutional,,,,,,,,,,,,,,,,,19,22250,1,1,190000
"Physicians and Surgeons, All Other",431195.0072,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",200000,Institutional,,,,,,,,,,,,,,,,,20,22250,1,1,200000
Family and General Practitioners,127815.2837,,,,,Healthcare Practitioners and Technical,Job can be made virtual,200700,Institutional,,,,,,,,,,,,,,,,,20,24750,2,2,200000
Orthodontists,7181.925576,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",209900,Institutional,,,,,,,,,,,,,,,,,20,27250,3,3,200000
Oral and Maxillofacial Surgeons,6329.242767,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",214300,Institutional,,,,,,,,,,,,,,,,,21,22250,1,1,210000
Psychiatrists,29499.44978,,,,,Healthcare Practitioners and Technical,Job can be made virtual,216400,Institutional,,,,,,,,,,,,,,,,,21,24750,2,2,210000
Obstetricians and Gynecologists,21067.36114,,,,,Healthcare Practitioners and Technical,Job can be made virtual,233700,Institutional,,,,,,,,,,,,,,,,,23,22250,1,1,230000
Surgeons,38816.66779,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",247000,Institutional,,,,,,,,,,,,,,,,,24,22250,1,1,240000
Anesthesiologists,34766.47045,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",261800,Institutional,,,,,,,,,,,,,,,,,26,22250,1,1,260000
